Sale ID,Date,Customer ID,Product,Unit Price,Tax,Total,Reference,Payment Status,Shipping
SALE-00101,2025-05-27,CUST-001,Tile Adhesive Thinset,21214.2,1591.07,22805.27,REF-715448,Shipped,49.99
SALE-00102,2024-08-18,CUST-031,"Anchor Bolts 1/2""",2015.6,151.17,2166.77,REF-669827,Partial,9.99
SALE-00103,2025-04-23,CUST-016,Safety Vest Hi-Vis,7815.5,586.16,8401.66,REF-913217,Partial,0.0
SALE-00104,2025-12-16,CUST-046,Drop Cloth 9x12,7866.3,589.97,8456.27,REF-930884,Paid,9.99
SALE-00105,2024-03-17,CUST-038,Rebar #4 20ft,5956.0,446.7,6402.7,REF-986088,Shipped,0.0
SALE-00106,2025-08-01,CUST-047,Caulk Silicone White,10032.4,752.43,10784.83,REF-261859,Paid,9.99
SALE-00107,2025-06-20,CUST-045,Ladder Extension 24ft,9431.4,707.35,10138.75,REF-444525,Partial,0.0
SALE-00108,2026-03-25,CUST-032,Smoke Detector Combo,642.47,48.19,690.66,REF-346174,Paid,0.0
SALE-00109,2026-01-14,CUST-007,"Miter Saw 12"" Sliding",13433.3,1007.5,14440.8,REF-205389,Shipped,0.0
SALE-00110,2026-02-01,CUST-003,Concrete Sealer 5gal,123.84,9.29,133.13,REF-475876,Unpaid,9.99
SALE-00111,2024-04-17,CUST-027,Hard Hat White,2231.49,167.36,2398.85,REF-278240,Paid,0.0
SALE-00112,2025-07-20,CUST-044,"Pipe Wrench 18""",6055.5,454.16,6509.66,REF-250069,Paid,9.99
SALE-00113,2026-02-15,CUST-017,Router Table Combo,5258.5,394.39,5652.89,REF-587853,Paid,24.99
SALE-00114,2025-03-03,CUST-029,"Anchor Bolts 1/2""",214.99,16.12,231.11,REF-769975,Partial,24.99
SALE-00115,2025-08-28,CUST-020,Flashing Tape Roll,8876.8,665.76,9542.56,REF-606680,Paid,0.0
SALE-00116,2025-10-12,CUST-037,Grout Sanded Gray,1624.88,121.87,1746.75,REF-123005,Partial,0.0
SALE-00117,2024-10-28,CUST-044,Drill Press Benchtop,2205.44,165.41,2370.85,REF-735863,Shipped,49.99
SALE-00118,2025-04-20,CUST-023,Outlet Box Double Gang,6445.8,483.44,6929.24,REF-362801,Paid,24.99
SALE-00119,2024-11-21,CUST-003,Deck Boards Composite,1487.64,111.57,1599.21,REF-707727,Unpaid,24.99
SALE-00120,2024-02-10,CUST-021,Belt Sander 3x21,949.66,71.22,1020.88,REF-238579,Unpaid,14.99
SALE-00121,2025-05-27,CUST-011,"Ball Valve 3/4""",2797.92,209.84,3007.76,REF-945664,Paid,24.99
SALE-00122,2025-02-15,CUST-005,Caulk Silicone White,2076.17,155.71,2231.88,REF-809176,Partial,49.99
SALE-00123,2025-06-03,CUST-026,Premium Wood Stain,66.76,5.01,71.77,REF-576877,Unpaid,24.99
SALE-00124,2026-03-09,CUST-038,Drop Cloth 9x12,1642.7,123.2,1765.9,REF-213609,Paid,9.99
SALE-00125,2024-10-18,CUST-021,Tool Belt Leather,648.03,48.6,696.63,REF-766269,Shipped,24.99
SALE-00126,2025-11-14,CUST-008,"Wood Screws #8 x 2""",1408.53,105.64,1514.17,REF-419149,Shipped,0.0
SALE-00127,2024-04-18,CUST-009,"Painters Tape 2""",4558.15,341.86,4900.01,REF-879238,Partial,14.99
SALE-00128,2026-03-05,CUST-027,Laser Level Cross,4310.26,323.27,4633.53,REF-745558,Partial,0.0
SALE-00129,2024-12-12,CUST-014,Mulch Hardwood 2cuft,430.42,32.28,462.7,REF-997004,Unpaid,0.0
SALE-00130,2026-02-18,CUST-042,Spray Paint Matte Black,560.79,42.06,602.85,REF-299028,Paid,49.99
SALE-00131,2025-02-22,CUST-014,Stud Finder Digital,1484.37,111.33,1595.7,REF-153035,Unpaid,0.0
SALE-00132,2024-10-07,CUST-005,"Miter Saw 12"" Sliding",3998.37,299.88,4298.25,REF-326441,Paid,0.0
SALE-00133,2024-10-01,CUST-018,Caulk Silicone White,6370.26,477.77,6848.03,REF-362829,Paid,0.0
SALE-00134,2026-01-05,CUST-001,Spray Paint Matte Black,603.58,45.27,648.85,REF-717457,Unpaid,0.0
SALE-00135,2024-05-02,CUST-009,"Orbital Sander 5""",163.13,12.23,175.36,REF-881886,Paid,9.99
SALE-00136,2025-06-17,CUST-038,Tape Measure 25ft,499.48,37.46,536.94,REF-744986,Paid,24.99
SALE-00137,2026-03-10,CUST-030,Stud Finder Digital,1531.88,114.89,1646.77,REF-602248,Partial,9.99
SALE-00138,2026-01-16,CUST-046,Mulch Hardwood 2cuft,414.35,31.08,445.43,REF-437758,Paid,0.0
SALE-00139,2024-05-20,CUST-041,Ear Plugs 200 pair,1648.58,123.64,1772.22,REF-499407,Paid,9.99
SALE-00140,2025-10-14,CUST-007,"Planer Thickness 13""",18398.6,1379.89,19778.49,REF-786516,Paid,9.99
SALE-00141,2025-04-14,CUST-022,Weed Barrier Fabric,2046.65,153.5,2200.15,REF-199704,Unpaid,9.99
SALE-00142,2025-11-09,CUST-024,Extension Cord 50ft,45.22,3.39,48.61,REF-170394,Paid,49.99
SALE-00143,2024-02-14,CUST-007,Belt Sander 3x21,9806.2,735.47,10541.67,REF-236435,Paid,14.99
SALE-00144,2025-09-11,CUST-043,Hammer Drill Cordless,13528.9,1014.67,14543.57,REF-797660,Partial,49.99
SALE-00145,2026-01-10,CUST-039,Deck Boards Composite,4273.38,320.5,4593.88,REF-632060,Paid,0.0
SALE-00146,2026-02-08,CUST-007,"Anchor Bolts 1/2""",212.07,15.91,227.98,REF-220465,Paid,14.99
SALE-00147,2024-07-28,CUST-036,"Band Saw 14""",7515.51,563.66,8079.17,REF-807764,Paid,14.99
SALE-00148,2026-03-09,CUST-002,Joint Compound 5gal,3848.3,288.62,4136.92,REF-423993,Unpaid,0.0
SALE-00149,2024-03-28,CUST-010,Hard Hat White,2226.13,166.96,2393.09,REF-248766,Paid,0.0
SALE-00150,2026-03-07,CUST-025,"Rake Leaf 24""",2331.15,174.84,2505.99,REF-488028,Paid,24.99
SALE-00151,2025-10-20,CUST-006,Concrete Mix 80lb Bag,21542.5,1615.69,23158.19,REF-747850,Paid,24.99
SALE-00152,2024-05-15,CUST-043,Hose Garden 100ft,3239.72,242.98,3482.7,REF-534303,Paid,0.0
SALE-00153,2025-02-12,CUST-028,"Level 48"" Aluminum",7957.7,596.83,8554.53,REF-721946,Shipped,14.99
SALE-00154,2026-02-02,CUST-015,Ladder Extension 24ft,974.24,73.07,1047.31,REF-108060,Paid,0.0
SALE-00155,2024-03-25,CUST-017,Grout Sanded Gray,1521.96,114.15,1636.11,REF-621546,Partial,0.0
SALE-00156,2024-07-18,CUST-046,Wire Nuts Assorted,15117.2,1133.79,16250.99,REF-800499,Unpaid,0.0
SALE-00157,2025-12-02,CUST-028,LED Panel Light 2x4,689.13,51.68,740.81,REF-428267,Partial,14.99
SALE-00158,2025-12-21,CUST-027,Grout Sanded Gray,1488.99,111.67,1600.66,REF-440544,Paid,49.99
SALE-00159,2025-08-27,CUST-045,Primer Interior 1gal,2472.7,185.45,2658.15,REF-211005,Paid,9.99
SALE-00160,2025-07-17,CUST-006,Ladder Extension 24ft,4818.25,361.37,5179.62,REF-456005,Paid,0.0
SALE-00161,2024-02-17,CUST-041,"Level 48"" Aluminum",1631.78,122.38,1754.16,REF-913934,Unpaid,0.0
SALE-00162,2026-03-27,CUST-010,"Pipe Wrench 18""",1938.78,145.41,2084.19,REF-306854,Paid,14.99
SALE-00163,2024-11-03,CUST-012,"Band Saw 14""",4917.84,368.84,5286.68,REF-891093,Shipped,24.99
SALE-00164,2025-11-21,CUST-040,Concrete Sealer 5gal,623.3,46.75,670.05,REF-431495,Paid,9.99
SALE-00165,2024-08-15,CUST-041,Tile Cutter Manual,6656.85,499.26,7156.11,REF-158900,Unpaid,14.99
SALE-00166,2024-05-15,CUST-029,Safety Goggles Anti-Fog,17611.0,1320.83,18931.83,REF-401022,Paid,24.99
SALE-00167,2024-10-20,CUST-033,"Painters Tape 2""",2737.38,205.3,2942.68,REF-930281,Paid,9.99
SALE-00168,2025-11-07,CUST-021,Steel Toe Boots,1147.57,86.07,1233.64,REF-164879,Shipped,0.0
SALE-00169,2025-12-03,CUST-033,Stud Finder Digital,1416.01,106.2,1522.21,REF-841995,Shipped,9.99
SALE-00170,2025-09-20,CUST-011,Primer Interior 1gal,254.61,19.1,273.71,REF-506235,Partial,49.99
SALE-00171,2025-11-20,CUST-004,"Planer Thickness 13""",1827.08,137.03,1964.11,REF-169113,Unpaid,0.0
SALE-00172,2025-11-13,CUST-019,"Ball Valve 3/4""",6867.0,515.02,7382.02,REF-731977,Paid,0.0
SALE-00173,2024-10-22,CUST-010,"Anchor Bolts 1/2""",1005.5,75.41,1080.91,REF-832409,Partial,0.0
SALE-00174,2025-12-03,CUST-020,First Aid Kit 100pc,23285.4,1746.4,25031.8,REF-444432,Paid,24.99
SALE-00175,2026-03-22,CUST-034,"PVC Pipe 2"" x 10ft",2569.68,192.73,2762.41,REF-633188,Unpaid,0.0
SALE-00176,2025-05-06,CUST-014,Wire Mesh 4x8 Sheet,1520.6,114.04,1634.64,REF-301332,Paid,0.0
SALE-00177,2024-02-10,CUST-007,"Stepping Stones 12""",21651.6,1623.87,23275.47,REF-874524,Paid,24.99
SALE-00178,2025-10-05,CUST-039,Drop Cloth 9x12,1536.37,115.23,1651.6,REF-971728,Paid,24.99
SALE-00179,2025-01-14,CUST-024,"Bench Grinder 8""",5097.22,382.29,5479.51,REF-740255,Paid,49.99
SALE-00180,2026-02-08,CUST-035,"Pipe Wrench 18""",19805.0,1485.38,21290.38,REF-922471,Shipped,49.99
SALE-00181,2024-06-22,CUST-037,Mulch Hardwood 2cuft,431.15,32.34,463.49,REF-915922,Partial,14.99
SALE-00182,2025-07-06,CUST-013,Steel Toe Boots,1108.77,83.16,1191.93,REF-154714,Shipped,49.99
SALE-00183,2025-09-04,CUST-046,Motion Sensor Light,597.51,44.81,642.32,REF-187949,Paid,0.0
SALE-00184,2025-09-05,CUST-028,"PVC Pipe 2"" x 10ft",1322.88,99.22,1422.1,REF-956375,Shipped,0.0
SALE-00185,2024-07-02,CUST-026,"Stepping Stones 12""",4162.98,312.22,4475.2,REF-185569,Unpaid,0.0
SALE-00186,2024-06-04,CUST-046,Laser Level Cross,2208.18,165.61,2373.79,REF-244283,Paid,0.0
SALE-00187,2025-12-27,CUST-009,"Miter Saw 12"" Sliding",2705.7,202.93,2908.63,REF-745239,Paid,0.0
SALE-00188,2024-05-07,CUST-010,Fire Extinguisher 5lb,1666.83,125.01,1791.84,REF-653408,Partial,0.0
SALE-00189,2025-04-10,CUST-008,Concrete Mix 80lb Bag,10863.65,814.77,11678.42,REF-932463,Shipped,0.0
SALE-00190,2024-08-20,CUST-035,LED Panel Light 2x4,2103.12,157.73,2260.85,REF-353690,Paid,0.0
SALE-00191,2025-01-20,CUST-023,"Pipe Wrench 18""",2033.24,152.49,2185.73,REF-796643,Paid,14.99
SALE-00192,2025-02-17,CUST-035,"Stepping Stones 12""",6505.32,487.9,6993.22,REF-681070,Paid,9.99
SALE-00193,2025-01-21,CUST-025,Brush Set 3pc,682.03,51.15,733.18,REF-474440,Paid,0.0
SALE-00194,2024-12-22,CUST-041,Tape Measure 25ft,2577.6,193.32,2770.92,REF-893435,Unpaid,0.0
SALE-00195,2024-06-18,CUST-022,Stud Finder Digital,14163.8,1062.28,15226.08,REF-817941,Shipped,24.99
SALE-00196,2025-11-06,CUST-009,Electrical Wire 12AWG 250ft,2162.24,162.17,2324.41,REF-138780,Paid,0.0
SALE-00197,2024-04-02,CUST-021,Deck Boards Composite,14481.3,1086.1,15567.4,REF-669408,Shipped,0.0
SALE-00198,2024-11-07,CUST-019,Spray Paint Matte Black,607.81,45.59,653.4,REF-787584,Unpaid,0.0
SALE-00199,2024-06-14,CUST-026,Belt Sander 3x21,1903.96,142.8,2046.76,REF-455505,Paid,9.99
SALE-00200,2026-02-12,CUST-034,Light Switch Dimmer,4893.3,367.0,5260.3,REF-545120,Paid,9.99
SALE-00201,2025-03-18,CUST-019,Concrete Sealer 5gal,115.5,8.66,124.16,REF-793024,Paid,0.0
SALE-00202,2025-10-23,CUST-028,Reciprocating Saw,1780.3,133.52,1913.82,REF-568849,Paid,24.99
SALE-00203,2025-10-14,CUST-018,Chalk Line Reel,693.01,51.98,744.99,REF-178686,Partial,0.0
SALE-00204,2025-12-22,CUST-011,"Copper Pipe 3/4"" x 10ft",1627.74,122.08,1749.82,REF-811027,Shipped,0.0
SALE-00205,2024-02-08,CUST-050,Stud Finder Digital,2888.76,216.66,3105.42,REF-694799,Paid,14.99
SALE-00206,2024-11-15,CUST-024,Brush Set 3pc,695.34,52.15,747.49,REF-701800,Paid,14.99
SALE-00207,2025-07-11,CUST-042,Electrical Panel 200A,1348.16,101.11,1449.27,REF-127172,Paid,9.99
SALE-00208,2025-07-18,CUST-008,"Ceiling Fan 52""",12499.2,937.44,13436.64,REF-567951,Paid,14.99
SALE-00209,2025-12-16,CUST-013,Hammer Drill Cordless,1315.34,98.65,1413.99,REF-574001,Paid,24.99
SALE-00210,2025-02-26,CUST-044,Fence Posts 4x4 8ft,8963.9,672.29,9636.19,REF-168093,Paid,0.0
SALE-00211,2024-12-23,CUST-045,Chalk Line Reel,639.72,47.98,687.7,REF-633469,Paid,0.0
SALE-00212,2024-03-08,CUST-032,"Copper Pipe 3/4"" x 10ft",1664.55,124.84,1789.39,REF-486831,Shipped,49.99
SALE-00213,2025-03-20,CUST-006,Electrical Wire 12AWG 250ft,5190.4,389.28,5579.68,REF-853789,Shipped,14.99
SALE-00214,2025-07-27,CUST-037,Paint Roller Set Pro,77.29,5.8,83.09,REF-773540,Paid,9.99
SALE-00215,2025-11-17,CUST-023,Sandpaper Assorted Pack,5767.8,432.58,6200.38,REF-678083,Paid,49.99
SALE-00216,2024-07-17,CUST-004,Hammer Drill Cordless,1367.54,102.57,1470.11,REF-272655,Paid,0.0
SALE-00217,2026-01-12,CUST-034,Tile Adhesive Thinset,2146.29,160.97,2307.26,REF-305837,Paid,0.0
SALE-00218,2026-02-20,CUST-035,"PVC Pipe 2"" x 10ft",1266.68,95.0,1361.68,REF-720556,Paid,0.0
SALE-00219,2026-03-24,CUST-039,Wire Mesh 4x8 Sheet,2257.95,169.35,2427.3,REF-143195,Paid,0.0
SALE-00220,2024-11-25,CUST-037,"Ceiling Fan 52""",24697.1,1852.28,26549.38,REF-699929,Partial,14.99
SALE-00221,2026-01-16,CUST-041,Smoke Detector Combo,659.57,49.47,709.04,REF-606404,Paid,49.99
SALE-00222,2026-02-10,CUST-030,Paint Roller Set Pro,81.81,6.14,87.95,REF-560959,Partial,9.99
SALE-00223,2025-04-11,CUST-039,Caulk Silicone White,9933.8,745.03,10678.83,REF-434827,Unpaid,9.99
SALE-00224,2024-06-17,CUST-036,Tape Measure 25ft,985.62,73.92,1059.54,REF-228473,Paid,9.99
SALE-00225,2024-03-04,CUST-004,Grout Sanded Gray,16175.5,1213.16,17388.66,REF-745270,Partial,0.0
SALE-00226,2024-06-19,CUST-047,Fence Posts 4x4 8ft,1708.5,128.14,1836.64,REF-622469,Shipped,9.99
SALE-00227,2025-08-01,CUST-006,Ladder Extension 24ft,929.73,69.73,999.46,REF-325595,Unpaid,0.0
SALE-00228,2024-05-16,CUST-039,Laser Level Cross,2283.89,171.29,2455.18,REF-662761,Paid,49.99
SALE-00229,2024-07-05,CUST-017,Jigsaw Corded,2089.3,156.7,2246.0,REF-483713,Paid,9.99
SALE-00230,2024-10-18,CUST-013,Primer Interior 1gal,259.26,19.44,278.7,REF-505116,Shipped,49.99
SALE-00231,2025-05-27,CUST-040,Air Compressor 6gal,1290.93,96.82,1387.75,REF-201377,Partial,0.0
